id,title,key
0,06-建设类-信息交换系统快速交付-应急预案.txt,介质 潘殷伟 术语 二维码 用户 服务器 阅读 交换 维护 信息
1,1 中国电信省分公司数据库审计系统应急恢复预案.txt,应急 故障 处置 预案 系统 事件 方法 实施 小组 问题
2,2018年中国联通基础网络4A管理平台扩容工程 可行性研究报告v20181015.txt,中国联通 华为 资源 扩容 通信网 移动 管理 本地网 平台 中兴
3,2018年贵州公司IT系统安全管控平台系统应用软件部署规划方案.txt,需求 项目 风险 实施 资源 接入 管理 计划 系统 影响
4,2018年贵州公司IT系统安全管控平台系统软件实施规划方案.txt,数据库 gzdxfc 规划 gz4adb 名称 空间 实例 实施规划 管控 用户
5,2021年贵州电信IT系统安全管控平台改造上云项目应用软件部署规划方案.txt,需求 项目 风险 实施 接入 资源 计划 系统 管理 文档
6,2021年贵州电信IT系统安全管控平台改造上云项目软件实施规划方案.txt,数据库 gzdxfc 规划 gz4adb 文档 名称 空间 实例 实施规划 用户
7,4A系统自建云互联网区主机漏洞整改情况报告.txt,套件 ssl 漏洞 tls 密码 远程桌面 rdp 事件 整改 接到
8,5G一体化数据安全架构探究与实现v1.4.txt,数据安全 数据 信任 安全 风险 架构 运营 进行 业务 访问
9,6.8  中国移动电子采购与招投标系统供应商须知.txt,__ 核心 格式 根本原因 核算 核查 核收 核心网 核心层 核心区
10,AIS-20190201001_IT一期_货物签收单_DN-20190521001.txt,支持 曙光 配置 硬盘 内存 说明书 原厂 到货 i620 g30
11,CVE-2013-2566_SSLTLS RC4 信息泄露漏洞.txt,rsa sha aes256 aes128 ecdhe sha256 ssl dhe tls gcm
12,CVE-2016-2183_SSLTLS协议信息泄露漏洞.txt,openssl 协议 漏洞 tls des ipsec 编号 triple 传输层 cncve
13,TD302实施验收报告.txt,成果 验收 开发 客户 签字 缺陷 审查 双方 应当 交付
14,TD610采购物品验收报告.txt,物品 乙方 采购 甲方 验收 签字 缺陷 审查 双方 应当
15,【专利检索报告】保旺达-南京2021-0035-提升4A系统认证鉴权能力的指令通道功能-修改版20210330.txt,检索 账号 专利 鉴权 指令 资源 认证 and 进行 访问
16,中国电信贵州省分公司集中化安全管理系统IT系统安全管控平台_应急预案.txt,故障 预案 无法 处置 录入 网络安全 应急 中心 rac 数据库
17,中国铁塔-4A系统-R-ZBZB-202103250696110-4A修复质量团队渗透测试漏洞--需求规格说明书.txt,hlk 越权 密码 发现 修改 验证码 漏洞 需求 查询 测试
18,中国铁塔-4A系统-R-ZBZB-202105260729208-OA门户模块安全漏洞修复--需求规格说明书.txt,需求 修改 漏洞 方法 tower 清除 china 验证码 修复 资料
19,中移4A平台四期工程项目上线试运行验收报告.txt,支持 系统 功能 资源 管理 授权 用户 平台 账号 审计
20,中移全通4A三期项目-上线试运行验收报告.txt,资源 管理 登录 账号 堡垒 功能 webterminal 单点 新增 系统
21,中移政企4A三期_安全漏洞整改方案.txt,用户名 返回 密码 登录 整改 手机号 基线 安全漏洞 点击 漏洞
22,信息通信一体化调度运行支撑平台（SG-I6000）一期项目-XX省电力公司-实施方案.txt,工作 实施 青海 公司 基础 管理 项目 平台 培训 测试
23,信息通信一体化调度运行支撑平台（SG-I6000）一期项目-XX省电力公司-建设方案.txt,i6000 系统 集成 电力公司 部署 安徽省 国网 管理 平台 应用
24,信息通信一体化调度运行支撑平台（SG-I6000）一期项目-系统应急预案及快速恢复方案.txt,i6000 专责 应急 运检 汇报 启动 中心 分管领导 运维 场景
25,信息通信一体化调度运行支撑平台（SG-I6000）建设（一期）项目-上线试运行验收报告.txt,运行 试运行 统一 支撑 建设 调度 信息 验收 签字 管理工作
26,安全运维管理平台验收报告.txt,测试 点击 测试步骤 期望 登录 测试通过 描述 编辑 界面 进入
27,成都亚光IT运行安全环境建设方案V1.0（提）.txt,终端 系统 机房 华为 接入 s5720 耐特 格林 安全 模块
28,成都亚光电子上线验收单.txt,上线 验收 负责人 匹配 测试 运行 签字 系统 验收单 xxxx
29,成都亚光电子初验证书(1).txt,建设 合格 验收 施工单位 产品 盖章 设备 调试 意见 齐全
30,成都亚光电子到货验收单.txt,单位 收货 盖章 验收 设备 甲方 项目 产品 到货 外观
31,服务器应急预案.txt,故障 服务器 系统 进程 显示 驱动程序 设备 检查 服务 日志
32,湖南联通信息系统漏洞扫描和渗透测试安全服务方案.txt,安全 评估 扫描 漏洞 渗透 风险 信息系统 攻防 测试 资产
33,甘肃信易贷平台应急响应及恢复预案.txt,处置 影响 业务 场景 系统 应急 执行命令 数据库 重启 centos7
34,甘肃省数字政府4A平台项目项目验收报告.txt,甘肃省 政府 数字 处于 试运行 阶段 验收 原因 涉及 项目
35,系统应急保障预案.txt,应急 保障 服务 预案 系统 bytes 故障 审计 演练 是否
36,设备两方采购合同模板-5202000400-集成.txt,卖方 买方 本合同 设备 附件 费用 承担 软件 保修期 规定
37,贵州联通4A系统应急预案.txt,故障 应急 进程 操作 root 日志 执行 信任 可疑 登录
38,辽宁联通基础网络4A管理平台应急方案.txt,应急 故障 系统 平台 恢复 宕机 服务 子系统 无法 启动
39,附件2-4A系统应急演练报告2021-10-25.txt,演练 门户 登陆 服务 停掉 节点 管理 中国移动 甘肃 截图
40,附件9：服务中心应急响应保障预案.txt,应急 保障 响应 故障 区域经理 小时 巡检 预案 工程师 现场
41,附录A-3 立项可行性分析报告1.txt,分析 市场 可行性 产品 实力 提示 竞争对手 政策 知识产权 份额
42,附录Q-5 外包开发成果验收报告.txt,乙方 成果 甲方 验收 签字 缺陷 审查 双方 应当 交付
43,青海电信DAT应急预案.txt,grep logstash 命令 观察 服务 启动 dat 应急 日志 执行
44,（ZJZT-2019-1949）2019年中国联通浙江内网安全及信息安全扩容工程运维账号管理和权限审计系统优化采购项目单一来源采购文件.txt,应答 采购 文件 报价 谈判 成交 须知 截止 供应商 澄清
